SPM/SL,30/20,,,,,,,,,
game,score,max,win,Tile Reached,Success Rate (80 Games),,,,,
1,20540,2048,TRUE,2048,31.25%,,,,,
2,16156,1024,FALSE,1024,80%,,,,,
3,15288,1024,FALSE,512,94%,,,,,
4,20164,2048,TRUE,256,100%,,,,,
5,15268,1024,FALSE,128,100%,,,,,
6,2772,256,FALSE,64,100%,,,,,
7,3192,256,FALSE,32,100%,,,,,
8,16000,1024,FALSE,16,100%,,,,,
9,14480,1024,FALSE,8,100%,,,,Tile Reached,Success Rate (80 Games)
10,20296,2048,TRUE,4,100%,,,,2048,31.25%
11,20256,2048,TRUE,2,100%,,,,1024,80%
12,10332,1024,FALSE,Win Rate,31.25%,,,,512,94%
13,16048,1024,FALSE,,,,,,256,100%
14,20172,2048,TRUE,,,,,,128,100%
15,16240,1024,FALSE,,,,,,64,100%
16,3096,256,FALSE,,,,,,32,100%
17,20232,2048,TRUE,,,,,,16,100%
18,20276,2048,TRUE,,,,,,8,100%
19,7068,512,FALSE,,,,,,4,100%
20,3040,256,FALSE,,,,,,2,100%
21,15400,1024,FALSE,,,,,,Win Rate,31.25%
22,15272,1024,FALSE,,,,,,,
23,15900,1024,FALSE,,,,,,,
24,20308,2048,TRUE,,,,,,,
25,16360,1024,FALSE,,,,,,,
26,20444,2048,TRUE,,,,,,,
27,11284,1024,FALSE,,,,,,,
28,3120,256,FALSE,,,,,,,
29,16220,1024,FALSE,,,,,,,
30,6904,512,FALSE,,,,,,,
31,16068,1024,FALSE,,,,,,,
32,20176,2048,TRUE,,,,,,,
33,7036,512,FALSE,,,,,,,
34,5272,512,FALSE,,,,,,,
35,14880,1024,FALSE,,,,,,,
36,20220,2048,TRUE,,,,,,,
37,6964,512,FALSE,,,,,,,
38,20312,2048,TRUE,,,,,,,
39,5296,512,FALSE,,,,,,,
40,20216,2048,TRUE,,,,,,,
41,16316,1024,FALSE,,,,,,,
42,15148,1024,FALSE,,,,,,,
43,6952,512,FALSE,,,,,,,
44,14328,1024,FALSE,,,,,,,
45,20320,2048,TRUE,,,,,,,
46,10936,1024,FALSE,,,,,,,
47,13616,1024,FALSE,,,,,,,
48,16132,1024,FALSE,,,,,,,
49,20504,2048,TRUE,,,,,,,
50,12040,1024,FALSE,,,,,,,
51,20168,2048,TRUE,,,,,,,
52,6536,512,FALSE,,,,,,,
53,11764,1024,FALSE,,,,,,,
54,20228,2048,TRUE,,,,,,,
55,14928,1024,FALSE,,,,,,,
56,20336,2048,TRUE,,,,,,,
57,16064,1024,FALSE,,,,,,,
58,14308,1024,FALSE,,,,,,,
59,20244,2048,TRUE,,,,,,,
60,20492,2048,TRUE,,,,,,,
61,12080,1024,FALSE,,,,,,,
62,20416,2048,TRUE,,,,,,,
63,20256,2048,TRUE,,,,,,,
64,7056,512,FALSE,,,,,,,
65,11888,1024,FALSE,,,,,,,
66,14036,1024,FALSE,,,,,,,
67,20188,2048,TRUE,,,,,,,
68,15932,1024,FALSE,,,,,,,
69,15896,1024,FALSE,,,,,,,
70,13960,1024,FALSE,,,,,,,
71,15976,1024,FALSE,,,,,,,
72,20280,2048,TRUE,,,,,,,
73,15528,1024,FALSE,,,,,,,
74,15916,1024,FALSE,,,,,,,
75,20312,2048,TRUE,,,,,,,
76,10312,1024,FALSE,,,,,,,
77,15780,1024,FALSE,,,,,,,
78,6992,512,FALSE,,,,,,,
79,7156,512,FALSE,,,,,,,
80,11316,1024,FALSE,,,,,,,
